date,datetime,tickersymbol,price,close,best-bid,best-ask,spread
2025-11-03,2025-11-03 09:00:00.000000,VN30F1M,1892.7,1892.7,1892.6000000000001,1892.8,0.1999999999998181
2025-11-03,2025-11-03 09:01:00.000000,VN30F1M,1893.9,1893.9,1893.8000000000002,1894.0,0.1999999999998181
2025-11-03,2025-11-03 09:02:00.000000,VN30F1M,1894.0,1894.0,1893.9,1894.1,0.1999999999998181
2025-11-03,2025-11-03 09:03:00.000000,VN30F1M,1894.1,1894.1,1894.0,1894.1999999999998,0.1999999999998181
2025-11-03,2025-11-03 09:04:00.000000,VN30F1M,1894.4,1894.4,1894.3000000000002,1894.5,0.1999999999998181
2025-11-03,2025-11-03 09:05:00.000000,VN30F1M,1893.7,1893.7,1893.6000000000001,1893.8,0.1999999999998181
2025-11-03,2025-11-03 09:06:00.000000,VN30F1M,1891.7,1891.7,1891.6000000000001,1891.8,0.1999999999998181
2025-11-03,2025-11-03 09:07:00.000000,VN30F1M,1892.0,1892.0,1891.9,1892.1,0.1999999999998181
2025-11-03,2025-11-03 09:08:00.000000,VN30F1M,1892.0,1892.0,1891.9,1892.1,0.1999999999998181
2025-11-03,2025-11-03 09:09:00.000000,VN30F1M,1891.9,1891.9,1891.8000000000002,1892.0,0.1999999999998181
2025-11-03,2025-11-03 09:10:00.000000,VN30F1M,1892.0,1892.0,1891.9,1892.1,0.1999999999998181
2025-11-03,2025-11-03 09:11:00.000000,VN30F1M,1892.9,1892.9,1892.8000000000002,1893.0,0.1999999999998181
2025-11-03,2025-11-03 09:12:00.000000,VN30F1M,1894.4,1894.4,1894.3000000000002,1894.5,0.1999999999998181
2025-11-03,2025-11-03 09:13:00.000000,VN30F1M,1894.1,1894.1,1894.0,1894.1999999999998,0.1999999999998181
2025-11-03,2025-11-03 09:14:00.000000,VN30F1M,1893.9,1893.9,1893.8000000000002,1894.0,0.1999999999998181
2025-11-03,2025-11-03 09:15:00.000000,VN30F1M,1896.1,1896.1,1896.0,1896.1999999999998,0.1999999999998181
2025-11-03,2025-11-03 09:16:00.000000,VN30F1M,1899.0,1899.0,1898.9,1899.1,0.1999999999998181
2025-11-03,2025-11-03 09:17:00.000000,VN30F1M,1898.9,1898.9,1898.8000000000002,1899.0,0.1999999999998181
2025-11-03,2025-11-03 09:18:00.000000,VN30F1M,1898.1,1898.1,1898.0,1898.1999999999998,0.1999999999998181
2025-11-03,2025-11-03 09:19:00.000000,VN30F1M,1897.1,1897.1,1897.0,1897.1999999999998,0.1999999999998181
2025-11-03,2025-11-03 09:20:00.000000,VN30F1M,1896.5,1896.5,1896.4,1896.6,0.1999999999998181
2025-11-03,2025-11-03 09:21:00.000000,VN30F1M,1896.7,1896.7,1896.6000000000001,1896.8,0.1999999999998181
2025-11-03,2025-11-03 09:22:00.000000,VN30F1M,1896.3,1896.3,1896.2,1896.3999999999999,0.1999999999998181
2025-11-03,2025-11-03 09:23:00.000000,VN30F1M,1897.6,1897.6,1897.5,1897.6999999999998,0.1999999999998181
